state,state_corrected
ALA,AL
ALASKA,AK
ARIZ,AZ
ARK,AR
ARK-OKLA,AR-OK
CALIF,CA
COLO,CO
CONN,CT
DC-MD-VA,DC-MD-VA
DEL-NJ-MD,DEL-NJ-MD
FLA,FL
GA,GA
GA-ALA,GA-AL
GA-SC,GA-SC
HAWAII,HI
IDAHO,ID
ILL,IL
IND,IN
IND-KY,IN-KY
IOWA,IA
IOWA-ILL,IA-IL
IOWA-NEBR,IA-NE
KANS,KS
KY,KY
KY-IND,KY-IN
LA,LA
MAINE,MN
MASS,MA
MASS-CONN,MA-CT
MASS-NH,MA-NH
MASS-RI,MA-RI
MD,MD
MICH,MI
MINN,MN
MINN-WIS,MN-WI
MISS,MS
MN-WI,MN-WI
MO,MO
MO-ILL,MO-IL
MO-KANS,MO-KS
MONT,MT
NC,NC
ND,ND
ND-MN,ND-MN
NEBR,NE
NEBR-IOWA,NE-IA
NEV,NV
NH,NH
NJ,NJ
NMEX,NM
NY,NY
NY-NJ,NY-NJ
NY-PA,NY-PA
OHIO,OH
OHIO-KY-IND,OH-KY-IN
OHIO-MICH,OH-MI
OHIO-WVA,OH-WV
OKLA,OK
OREG,OR
OREG-WASH,OR-WA
PA,PA
PA-NJ,PA-NJ
RI-MASS,RI-MA
SC,SC
SDAK,SD
TENN,TN
TENN-ARK,TN-AR
TENN-ARK-MISS,TN-AR-MS
TENN-GA,TN-GA
TENN-KY,TN-KY
TENN-VA,TN-VA
TEX,TX
TEX-ARK,TX-AR
UTAH,UT
VA,VA
VA-NC,VA-NC
WASH,WA
WIS,WI
WVA,WV
WVA-KY-OHIO,WV-KY-OH
WVA-OHIO,WV-OH
